Name	Reel	Media Start	Media End	Tracks	Comment 1	Log Note
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_132_MOV	VTZT10_041	01:10:28:11	01:10:34:14	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_54_MOV	VTZT10_039	01:10:34:14	01:10:39:11	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_52_MOV	VTZT10_039	01:10:39:11	01:10:47:18	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_56_MOV	VTZT10_039	01:10:47:18	01:10:53:15	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_57_MOV	VTZT10_039	01:10:53:15	01:10:59:23	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_60_MOV	VTZT10_039	01:10:59:23	01:11:03:14	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_65_MOV	VTZT10_039	01:11:03:14	01:11:12:08	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_49_MOV	VTZT10_039	01:11:12:08	01:11:18:04	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_76_MOV	VTZT10_039	01:11:18:04	01:11:35:08	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_77_MOV	VTZT10_039	01:11:35:08	01:11:37:22	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_112_MOV	VTZT10_041	01:11:37:22	01:11:41:23	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_81_MOV	VTZT10_039	01:11:41:23	01:11:47:00	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_114_MOV	VTZT10_041	01:11:47:00	01:11:49:24	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_122_MOV	VTZT10_041	01:11:49:24	01:11:52:22	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_80_MOV	VTZT10_039	01:11:52:22	01:12:02:12	1V,4A		
HAAG_TRIBUEHNE_OTTO_SCHENK_AUSSEN_121_MOV	VTZT10_041	01:12:02:12	01:12:07:21	1V,4A		
